关键词,投放实例数,方案数,推广单元数,方案ID列表,推广单元ID列表,总消费额,总点击量,总浏览量,CPC有效正值数,CPC最小正值,CPC中位数,CPC最大值,CPC最大最小比,点击量最小值,点击量中位数,点击量最大值,点击量极差,浏览深度有效正值数,浏览深度最小正值,浏览深度中位数,浏览深度最大值,浏览深度最大最小比,跳出率最小值,跳出率中位数,跳出率最大值,平均访问时长最小值_秒,平均访问时长中位数_秒,平均访问时长最大值_秒,组内最大倍率,差异排序依据
1327,2,2,2,495403620；525368335,9628223555；9811363528,10.01,7,35,2,1.34,1.3925,1.445,1.07835820896,1,3.5,6,5,2,1,3.33333333333,5.66666666667,5.66666666667,0.4,0.7,1,6,255.5,505,5.66666666667,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4721,2,2,2,495817671；500635396,9630806627；9657930100,72784.49,23518,55379,2,0.5790625,1.83866605371,3.09826960743,5.35049257623,32,11759,23486,23454,2,1.84375,2.09959789875,2.3554457975,1.27752992407,0.57,0.645,0.72,191,206.5,222,5.35049257623,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3082,2,2,2,495817671；525368335,9630806627；9811363528,6.46,4,17,2,1.32,1.51666666667,1.71333333333,1.29797979798,1,2,3,2,2,1,3.16666666667,5.33333333333,5.33333333333,0,0.5,1,1,202,403,5.33333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4163,2,2,2,495403620；525368335,9628223555；9811363528,1.75,3,2,2,0.245,0.7525,1.26,5.14285714286,1,1.5,2,1,1,1,0.5,1,,0,0.5,1,0,0.5,1,5.14285714286,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6538,2,2,2,495403620；495817671,9628223555；9630806627,24.01,21,103,2,1.11,1.1275,1.145,1.03153153153,1,10.5,20,19,2,1,3.05,5.1,5.1,0.7222,0.8611,1,9,177,345,5.1,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5588,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,19.09,19,44,2,0.685,0.863676470588,1.04235294118,1.52168312581,0,2,17,17,2,0.5,1.51470588235,2.52941176471,5.05882352941,0.75,0.875,1,3,137.5,272,5.05882352941,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1575,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,67.41,242,152,2,0.167821782178,0.502785891089,0.83775,4.99190265487,0,40,202,202,2,0.2,0.456435643564,0.712871287129,3.56435643564,0.5,0.5,0.5,60,284,508,4.99190265487,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4480,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,25.5,18,23,2,1.21,1.334,1.458,1.20495867769,0,3,15,15,2,0.8,2.23333333333,3.66666666667,4.58333333333,0.5,0.70455,0.9091,34,315,596,4.58333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2397,3,1,3,63563817,2526158329；4190988309；4190988310,10.32,8,60,2,1.13,1.23666666667,1.34333333333,1.18879056047,0,2,6,6,2,4,11,18,4.5,0.5,0.625,0.75,293,891.5,1490,4.5,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4760,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,2609.72,476,1400,2,1.3335,3.59837844037,5.86325688073,4.39689304892,0,40,436,436,2,2.9380733945,2.95653669725,2.975,1.01256830601,0.7647,0.76805,0.7714,242,254.5,267,4.39689304892,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6159,2,2,2,495403620；495817671,9628223555；9630806627,2994.77,1923,1536,2,1.54535078534,2.43229077729,3.31923076923,2.14788176297,13,961.5,1910,1897,2,0.78167539267,2.04468385018,3.30769230769,4.23154206811,0.75,0.7881,0.8262,41,104.5,168,4.23154206811,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3222,2,2,2,495403620；525368335,9628223555；9811363528,1178.16,173,338,2,1.65,4.2450872093,6.8401744186,4.1455602537,1,86.5,172,171,2,1,1.47965116279,1.95930232558,1.95930232558,0.7801,0.89005,1,2,73,144,4.1455602537,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6229,2,2,2,495403620；525368335,9628223555；9811363528,20.55,18,69,2,1.13764705882,1.17382352941,1.21,1.06359875905,1,9,17,16,2,1,2.5,4,4,0.9333,0.96665,1,3,253,503,4,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2547,2,2,2,495403620；525368335,9628223555；9811363528,2.82,3,6,2,0.65,0.8675,1.085,1.66923076923,1,1.5,2,1,2,1,2.5,4,4,0,0.5,1,3,50,97,4,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5501,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,0.74,2,2,2,0.15,0.37,0.59,3.93333333333,0,1,1,1,2,1,1,1,1,1,1,1,2,328,654,3.93333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2123,2,1,2,63563817,1841014603；4190988310,79.17,50,124,2,1.55,1.82833333333,2.10666666667,1.35913978495,3,25,47,44,2,0.666666666667,1.63120567376,2.59574468085,3.89361702128,0.75,0.875,1,8,128.5,249,3.89361702128,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6372,2,2,2,495403620；525368335,9628223555；9811363528,12.98,16,18,2,0.671666666667,0.950833333333,1.23,1.83126550868,4,8,12,8,2,0.666666666667,1.58333333333,2.5,3.75,0.75,0.875,1,37,56.5,76,3.75,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2093,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,4.18,5,13,2,0.616666666667,0.890833333333,1.165,1.88918918919,0,2,3,3,2,1,2.33333333333,3.66666666667,3.66666666667,0.6667,0.83335,1,6,147.5,289,3.66666666667,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5705,2,2,2,495403620；525368335,9628223555；9811363528,138.77,29,117,2,1.45333333333,3.31147435897,5.16961538462,3.55707480593,3,14.5,26,23,2,3.88461538462,4.60897435897,5.33333333333,1.37293729373,0.3333,0.44665,0.56,209,226,243,3.55707480593,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4713,2,1,2,63563817,1841014603；4190988310,11.87,5,15,2,1.7975,3.23875,4.68,2.60361613352,1,2.5,4,3,2,2,4.5,7,3.5,0,0.25,0.5,31,154.5,278,3.5,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3567,3,3,3,495403620；495817671；500635396,9628223555；9630806627；9657930100,72315.59,33903,66340,3,0.675,1.95122451357,2.31966059157,3.43653420974,2,16735,17166,17164,3,1,1.94233642068,1.97093090994,1.97093090994,0.6059,0.6115,1,25,175,185,3.43653420974,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2541,2,2,2,495403620；495817671,9628223555；9630806627,23406.79,30621,90883,2,0.724684555236,1.59966601863,2.47464748201,3.41479263513,695,15310.5,29926,29231,2,2.92257568669,3.92315834694,4.92374100719,1.6847266025,0.4544,0.4759,0.4974,328,337,346,3.41479263513,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2997,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,221.15,155,250,3,0.71,0.985277777778,1.56754237288,2.20780615899,1,36,118,117,3,0.916666666667,1.81355932203,3,3.27272727273,0,0.7664,0.8571,37,55,108,3.27272727273,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1164,2,2,2,495403620；495817671,9628223555；9630806627,255.64,213,447,2,1.18555,1.30546730769,1.42538461538,1.20229818682,13,106.5,200,187,2,1.845,3.9225,6,3.25203252033,0.4615,0.5035,0.5455,206,270.5,335,3.25203252033,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4927,2,2,2,495403620；495817671,9628223555；9630806627,172.14,53,68,2,1.29823529412,2.73342320261,4.16861111111,3.21098273171,17,26.5,36,19,2,1.25,1.30147058824,1.35294117647,1.08235294118,0.72,0.76,0.8,61,127,193,3.21098273171,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2533,2,2,2,495817671；500635396,9630806627；9657930100,192244.35,79015,172923,2,0.993817267737,1.94907648777,2.90433570781,2.92240415023,19493,39507.5,59522,40029,2,0.838813933207,1.73465175004,2.63048956688,3.1359631293,0.5621,0.6206,0.6791,148,185,222,3.1359631293,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6366,2,2,2,495403620；525368335,9628223555；9811363528,21.06,22,44,2,0.934444444444,0.953760683761,0.973076923077,1.04134272386,9,11,13,4,2,0.888888888889,1.82905982906,2.76923076923,3.11538461538,0.6923,0.84615,1,32,56.5,81,3.11538461538,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2586,2,2,2,495817671；525368335,9630806627；9811363528,1681.38,525,809,2,2.685,2.9448040153,3.20460803059,1.19352254398,2,262.5,523,521,2,0.5,1.0224665392,1.54493307839,3.08986615679,0.7976,0.8988,1,120,124.5,129,3.08986615679,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5418,2,1,2,63563817,1841014603；4190988310,31.98,18,91,2,1.68,1.78875,1.8975,1.12946428571,8,9,10,2,2,2.7,5.35,8,2.96296296296,0.375,0.5875,0.8,104,401.5,699,2.96296296296,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4331,2,2,2,495403620；495817671,9628223555；9630806627,27.83,28,32,2,0.843846153846,0.983923076923,1.124,1.33199635369,13,14,15,2,2,0.6,1.18461538462,1.76923076923,2.94871794872,0.9167,0.95835,1,48,105,162,2.94871794872,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
875,2,2,2,495403620；495817671,9628223555；9630806627,1095.09,1083,1315,2,0.993908918406,1.31609239024,1.63827586207,1.64831588864,29,541.5,1054,1025,2,1.15749525617,2.21667866257,3.27586206897,2.83013001696,0.72,0.7646,0.8092,149,230,311,2.83013001696,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6510,2,2,2,495817671；525368335,9630806627；9811363528,47.02,30,159,2,0.945,1.27839285714,1.61178571429,1.70559334845,2,15,28,26,2,2,3.76785714286,5.53571428571,2.76785714286,0.3333,0.41665,0.5,26,271.5,517,2.76785714286,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3575,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,1574.66,312,1025,3,2.36549295775,3.6425,6.32710659898,2.67475182214,44,71,197,153,3,2.83098591549,3.22727272727,3.46192893401,1.22287041948,0.5,0.6,0.6395,291,316,370,2.67475182214,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4807,2,2,2,495817671；525368335,9630806627；9811363528,2.96,5,15,2,0.31,0.48625,0.6625,2.13709677419,1,2.5,4,3,2,2.25,4.125,6,2.66666666667,0,0.33335,0.6667,27,72,117,2.66666666667,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2534,2,2,2,495403620；525368335,9628223555；9811363528,18.86,18,31,2,0.86,1.01363636364,1.16727272727,1.35729386892,7,9,11,4,2,0.857142857143,1.56493506494,2.27272727273,2.65151515152,0.75,0.875,1,53,86,119,2.65151515152,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4016,2,2,2,495403620；495817671,9628223555；9630806627,53.76,31,76,2,1.27,1.53648148148,1.80296296296,1.41965587635,4,15.5,27,23,2,2.03703703704,3.64351851852,5.25,2.57727272727,0.6522,0.7011,0.75,172,368.5,565,2.57727272727,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
33,2,2,2,495403620；525368335,9628223555；9811363528,203.48,96,169,2,0.955714285714,1.70059047619,2.44546666667,2.55878425511,21,48,75,54,2,0.952380952381,1.46952380952,1.98666666667,2.086,0.7288,0.83315,0.9375,40,74,108,2.55878425511,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5134,2,1,2,63563817,1841014603；4190988310,237.24,177,897,2,1.30503875969,1.37012354651,1.43520833333,1.09974383724,48,88.5,129,81,2,2.39583333333,4.2289244186,6.06201550388,2.53023255814,0.6371,0.65575,0.6744,178,237,296,2.53023255814,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5888,2,2,2,495403620；525368335,9628223555；9811363528,4.66,5,7,2,0.715,1.2575,1.8,2.51748251748,1,2.5,4,3,2,1,1.25,1.5,1.5,0.3333,0.66665,1,1,65.5,130,2.51748251748,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6261,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,19081.08,16451,13181,3,1.15409493014,2.3025,2.8475,2.46730136805,12,48,16391,16379,3,0.797876883656,1.16666666667,1.85416666667,2.32387565632,0.619,0.8333,0.8917,86,106,635,2.46730136805,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3327,2,2,2,495403620；495817671,9628223555；9630806627,106.37,71,166,2,1.45327586207,1.57586870027,1.69846153846,1.16871241228,13,35.5,58,45,2,1.84482758621,3.19164456233,4.53846153846,2.46010064702,0.7,0.74585,0.7917,151,345,539,2.46010064702,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4828,2,2,2,495403620；495817671,9628223555；9630806627,170.67,55,110,2,1.38125,2.38871010638,3.39617021277,2.4587657649,8,27.5,47,39,2,1.87234042553,2.31117021277,2.75,1.46875,0.5,0.64285,0.7857,199,200,201,2.4587657649,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6133,2,2,2,495817671；500635396,9630806627；9657930100,78.43,42,100,2,1.04,1.474375,1.90875,1.83533653846,2,21,40,38,2,1,1.725,2.45,2.45,0.575,0.7875,1,120,146.5,173,2.45,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2478,2,1,2,63563817,1841014603；4190988309,150.65,79,314,2,1.88240740741,1.9212037037,1.96,1.04121987211,25,39.5,54,29,2,2.74074074074,4.69037037037,6.64,2.4227027027,0.4737,0.60685,0.74,136,391,646,2.4227027027,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4171,2,2,2,495403620；525368335,9628223555；9811363528,7.59,8,8,2,0.84,0.9125,0.985,1.17261904762,2,4,6,4,2,0.5,0.833333333333,1.16666666667,2.33333333333,0.75,0.875,1,8,133,258,2.33333333333,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
9,2,1,2,63563817,1841014603；4190988309,3458.48,3285,9821,2,1.04690003057,1.74023572957,2.43357142857,2.32454996419,14,1642.5,3271,3257,2,2.98073983491,4.02608420317,5.07142857143,1.7013992674,0.6109,0.6626,0.7143,196,293,390,2.32454996419,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
110,2,2,2,495817671；525368335,9630806627；9811363528,2839.66,1512,3465,2,1.5,1.68916611516,1.87833223031,1.25222148687,1,756,1511,1510,2,1,1.64626075447,2.29252150893,2.29252150893,0.2866,0.6433,1,120,284,448,2.29252150893,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4718,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,2596.07,814,1424,2,1.41,2.30073185732,3.19146371464,2.26344944301,0,1,813,813,1,1.75153751538,0.875768757688,1.75153751538,,0,0.36215,0.7243,0,61.5,123,2.26344944301,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4637,2,2,2,495403620；525368335,9628223555；9811363528,9.23,14,12,2,0.522727272727,0.841363636364,1.16,2.21913043478,3,7,11,8,2,0.818181818182,0.909090909091,1,1.22222222222,1,1,1,54,82.5,111,2.21913043478,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4606,2,2,2,495817671；525368335,9630806627；9811363528,147.32,52,93,2,1.3,2.08156862745,2.8631372549,2.202413273,1,26,51,50,1,1.82352941176,0.911764705882,1.82352941176,,0,0.36905,0.7381,0,50.5,101,2.202413273,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5508,2,2,2,495403620；525368335,9628223555；9811363528,4.6,6,34,2,0.64,1.02,1.4,2.1875,1,3,5,4,1,6.8,3.4,6.8,,0,0.25,0.5,0,221,442,2.1875,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
6440,2,2,2,495403620；525368335,9628223555；9811363528,14.49,11,20,2,0.873333333333,1.17854166667,1.48375,1.69895038168,3,5.5,8,5,2,1,1.5625,2.125,2.125,0.875,0.9375,1,81,267,453,2.125,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1257,2,2,2,495403620；525368335,9628223555；9811363528,212.69,165,242,2,0.61,0.951585365854,1.29317073171,2.11995201919,1,82.5,164,163,2,1,1.23475609756,1.46951219512,1.46951219512,0.5614,0.7807,1,120,232,344,2.11995201919,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2996,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,75.77,51,319,2,1,1.2477,1.4954,1.4954,0,1,50,50,2,3,4.66,6.32,2.10666666667,0,0.1346,0.2692,21,254,487,2.10666666667,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2019,2,2,2,495817671；525368335,9630806627；9811363528,906.78,969,1189,2,0.935477178423,0.965738589212,0.996,1.06469727212,5,484.5,964,959,2,0.6,0.915145228216,1.23029045643,2.05048409405,0.7208,0.8604,1,42,104,166,2.05048409405,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1437,2,2,2,495817671；525368335,9630806627；9811363528,20.59,22,44,2,0.91,0.923571428571,0.937142857143,1.02982731554,1,11,21,20,2,1,1.52380952381,2.04761904762,2.04761904762,0.75,0.875,1,2,45.5,89,2.04761904762,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3769,2,2,2,495403620；525368335,9628223555；9811363528,5.92,9,15,2,0.413333333333,0.596666666667,0.78,1.88709677419,3,4.5,6,3,2,1,1.5,2,2,0.8,0.9,1,3,35,67,2,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4251,2,2,2,495403620；525368335,9628223555；9811363528,3.7,5,2,2,0.6175,0.92375,1.23,1.99190283401,1,2.5,4,3,1,0.5,0.25,0.5,,0,0.5,1,0,45,90,1.99190283401,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3304,2,1,2,63563817,1841014603；4190988310,24.96,16,32,2,1.536,1.55345454545,1.57090909091,1.02272727273,5,8,11,6,2,1.2,1.78181818182,2.36363636364,1.9696969697,0.75,0.7841,0.8182,50,67,84,1.9696969697,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
444,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,11668.97,6940,62187,2,1.24396907216,1.46897831017,1.69398754818,1.36176018044,0,194,6746,6746,2,4.76804123711,6.92463728028,9.08123332345,1.90460461054,0.1014,0.1214,0.1414,551,574.5,598,1.90460461054,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
1666,2,2,2,495403620；495817671,9628223555；9630806627,45.04,31,57,2,1.355,1.43486842105,1.51473684211,1.11788696834,12,15.5,19,7,2,1.36842105263,1.97587719298,2.58333333333,1.88782051282,0.5,0.6,0.7,160,180.5,201,1.88782051282,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
235,3,3,3,495403620；495817671；525368335,9628223555；9630806627；9811363528,171.35,133,242,3,1.285,1.28958333333,1.29,1.00389105058,1,36,96,95,3,1,1.66666666667,1.88541666667,1.88541666667,0.7667,0.7952,1,2,161,196,1.88541666667,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
4048,2,1,2,63563817,1841014603；4190988310,12.2,10,72,2,1.17375,1.289375,1.405,1.19701810437,2,5,8,6,2,6.125,8.8125,11.5,1.87755102041,0,0.25,0.5,477,520,563,1.87755102041,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
5921,2,2,2,495403620；525368335,9628223555；9811363528,13.55,12,11,2,1.05272727273,1.51136363636,1.97,1.8713298791,1,6,11,10,1,1,0.5,1,,0,0.41665,0.8333,0,22,44,1.8713298791,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
3417,2,2,2,495403620；495817671,9628223555；9630806627,22.14,22,59,2,0.949375,1.05385416667,1.15833333333,1.2201009436,6,11,16,10,2,1.66666666667,2.36458333333,3.0625,1.8375,0.6,0.7,0.8,33,255.5,478,1.8375,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
2843,2,2,2,495403620；525368335,9628223555；9811363528,4274.73,5539,5683,2,0.759359234027,1.07713332072,1.39490740741,1.83695324282,108,2769.5,5431,5323,2,1.020438225,1.16299689028,1.30555555556,1.27940675248,0.7917,0.80285,0.814,117,120,123,1.83695324282,"max(CPC最大最小比,浏览深度最大最小比)；仅使用至少2个正值"
