差异排名,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,CPC,浏览深度,跳出率,平均访问时长_秒,zero_effect,组内最大倍率,CPC最大最小比,浏览深度最大最小比
11,1040,495403620,9628223555,5.45,6,29,0.908333333333,4.83333333333,0.5,261,False,8.05555555556,1.40917431193,8.05555555556
11,1040,495817671,9630806627,6.4,5,3,1.28,0.6,1,65,False,8.05555555556,1.40917431193,8.05555555556
12,2874,495403620,9628223555,5435.94,1915,10266,2.83861096606,5.36083550914,0.3591,411,False,7.50516971279,2.9745923297,7.50516971279
12,2874,495817671,9630806627,6.68,7,5,0.954285714286,0.714285714286,1,263,False,7.50516971279,2.9745923297,7.50516971279
12,2874,500635396,9657930100,103832.28,39270,110134,2.64406111536,2.80453272218,0.5535,234,False,7.50516971279,2.9745923297,7.50516971279
13,3382,495403620,9628223555,1533,276,1485,5.55434782609,5.38043478261,0.4779,384,False,7.0110982377,7.0110982377,3.12412342216
13,3382,495817671,9630806627,14.26,18,31,0.792222222222,1.72222222222,0.6429,90,False,7.0110982377,7.0110982377,3.12412342216
14,5702,495403620,9628223555,22.93,16,40,1.433125,2.5,0.8182,77,False,6.93791764557,6.93791764557,2.17289719626
14,5702,495817671,9630806627,924.69,93,107,9.94290322581,1.15053763441,0.8919,96,False,6.93791764557,6.93791764557,2.17289719626
15,2890,495403620,9628223555,6.51,6,19,1.085,3.16666666667,0.8,48,False,6.47368421053,1.16981132075,6.47368421053
15,2890,525368335,9811363528,3.71,4,82,0.9275,20.5,0.3333,2573,False,6.47368421053,1.16981132075,6.47368421053
16,1265,495403620,9628223555,0,0,0,,,,,True,6.21897810219,6.21897810219,2
16,1265,495817671,9630806627,1.37,2,1,0.685,0.5,1,1,False,6.21897810219,6.21897810219,2
16,1265,525368335,9811363528,4.26,1,1,4.26,1,1,10,False,6.21897810219,6.21897810219,2
17,2186,495403620,9628223555,2.48,3,3,0.826666666667,1,1,10,False,6,1.21875,6
17,2186,525368335,9811363528,8.06,8,48,1.0075,6,0.8571,1078,False,6,1.21875,6
18,3135,495403620,9628223555,2.7,2,22,1.35,11,0.5,1001,False,5.96129032258,1.0594356261,5.96129032258
18,3135,495817671,9630806627,240.28,168,310,1.43023809524,1.84523809524,0.8429,186,False,5.96129032258,1.0594356261,5.96129032258
18,3135,525368335,9811363528,0,0,0,,,,,True,5.96129032258,1.0594356261,5.96129032258
19,3973,495403620,9628223555,4.8,7,35,0.685714285714,5,0.8,77,False,5.71428571429,1.29244791667,5.71428571429
19,3973,495817671,9630806627,7.09,8,7,0.88625,0.875,1,50,False,5.71428571429,1.29244791667,5.71428571429
19,3973,525368335,9811363528,0,0,0,,,,,True,5.71428571429,1.29244791667,5.71428571429
20,1327,495403620,9628223555,1.34,1,1,1.34,1,1,6,False,5.66666666667,1.07835820896,5.66666666667
20,1327,525368335,9811363528,8.67,6,34,1.445,5.66666666667,0.4,505,False,5.66666666667,1.07835820896,5.66666666667
