指标,事后方法,组1,组2,统计量名称,统计量,原始p值,校正方法,校正p值,校正后显著,效应量名称,效应量
总消费额,Dunn检验,元旦,端午节,z,-0.404925139489,0.685532538708,Holm,1,False,rank_biserial_r,-1
总消费额,Dunn检验,元旦,国庆/中秋假期,z,0.187649184606,0.851151667309,Holm,1,False,rank_biserial_r,0.75
总消费额,Dunn检验,春节,清明节,z,0.726224733871,0.467701011527,Holm,1,False,rank_biserial_r,1
总消费额,Dunn检验,春节,劳动节,z,0.636322334532,0.524566350508,Holm,1,False,rank_biserial_r,0.75
总消费额,Dunn检验,春节,端午节,z,-0.594395986999,0.552247291903,Holm,1,False,rank_biserial_r,-0.75
总消费额,Dunn检验,春节,国庆/中秋假期,z,0.52838261491,0.597233801481,Holm,1,False,rank_biserial_r,0.5625
总消费额,Dunn检验,清明节,劳动节,z,-0.176499383392,0.859901633059,Holm,1,False,rank_biserial_r,-0.866666666667
总消费额,Dunn检验,清明节,端午节,z,-1.09500085537,0.273516261741,Holm,1,False,rank_biserial_r,-1
总消费额,Dunn检验,清明节,国庆/中秋假期,z,-0.33598831061,0.736879681379,Holm,1,False,rank_biserial_r,-0.666666666667
总消费额,Dunn检验,劳动节,端午节,z,-1.04774879063,0.294754361782,Holm,1,False,rank_biserial_r,-1
总消费额,Dunn检验,劳动节,国庆/中秋假期,z,-0.172900124863,0.862729933505,Holm,1,False,rank_biserial_r,0.15
总消费额,Dunn检验,端午节,国庆/中秋假期,z,0.98463241026,0.324804663741,Holm,1,False,rank_biserial_r,0.75
总点击量,Dunn检验,普通工作日,普通周末,z,1.93097097966,0.0534866413435,Holm,0.962759544184,False,rank_biserial_r,0.150507430228
总点击量,Dunn检验,普通工作日,元旦,z,1.81888724764,0.0689286337801,Holm,1,False,rank_biserial_r,0.983870967742
总点击量,Dunn检验,普通工作日,春节,z,4.73735934861,2.165210316e-06,Holm,6.06258888479e-05,True,rank_biserial_r,0.934475806452
总点击量,Dunn检验,普通工作日,清明节,z,3.20853776777,0.00133411785783,Holm,0.0306847107302,True,rank_biserial_r,0.991935483871
总点击量,Dunn检验,普通工作日,劳动节,z,3.40960136545,0.000650578962767,Holm,0.0156138951064,True,rank_biserial_r,0.867741935484
总点击量,Dunn检验,普通工作日,端午节,z,2.62654699436,0.00862560809422,Holm,0.172512161884,False,rank_biserial_r,0.870967741935
总点击量,Dunn检验,普通工作日,国庆/中秋假期,z,4.25253751624,2.11361793497e-05,Holm,0.000570676842442,True,rank_biserial_r,0.851814516129
总点击量,Dunn检验,普通周末,元旦,z,1.57512668343,0.115227206013,Holm,1,False,rank_biserial_r,0.977528089888
总点击量,Dunn检验,普通周末,春节,z,3.96397693404,7.37113779174e-05,Holm,0.00191649582585,True,rank_biserial_r,0.949438202247
总点击量,Dunn检验,普通周末,清明节,z,2.76834828039,0.00563412113915,Holm,0.118316543922,False,rank_biserial_r,0.977528089888
总点击量,Dunn检验,普通周末,劳动节,z,2.83181719324,0.00462843016861,Holm,0.101825463709,False,rank_biserial_r,0.901123595506
总点击量,Dunn检验,普通周末,端午节,z,2.19247330116,0.0283453488726,Holm,0.538561628579,False,rank_biserial_r,0.910112359551
总点击量,Dunn检验,普通周末,国庆/中秋假期,z,3.49214704678,0.000479154385415,Holm,0.0119788596354,True,rank_biserial_r,0.85393258427
总点击量,Dunn检验,元旦,春节,z,-0.113929946428,0.909293326304,Holm,1,False,rank_biserial_r,0
总点击量,Dunn检验,元旦,清明节,z,0.0355677750709,0.971627003823,Holm,1,False,rank_biserial_r,0.333333333333
总点击量,Dunn检验,元旦,劳动节,z,-0.25782772152,0.796539868923,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,元旦,端午节,z,-0.25718237359,0.797037990314,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,元旦,国庆/中秋假期,z,-0.278123104516,0.78091786032,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,春节,清明节,z,0.239158523151,0.810982663219,Holm,1,False,rank_biserial_r,0.666666666667
总点击量,Dunn检验,春节,劳动节,z,-0.283456664556,0.776826796594,Holm,1,False,rank_biserial_r,-0.4
总点击量,Dunn检验,春节,端午节,z,-0.260157808111,0.794742048167,Holm,1,False,rank_biserial_r,-0.583333333333
总点击量,Dunn检验,春节,国庆/中秋假期,z,-0.348306286525,0.727610173133,Holm,1,False,rank_biserial_r,-0.3125
总点击量,Dunn检验,清明节,劳动节,z,-0.442979172544,0.657780799506,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,清明节,端午节,z,-0.414011230623,0.678865882045,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,清明节,国庆/中秋假期,z,-0.496399763906,0.619612391614,Holm,1,False,rank_biserial_r,-1
总点击量,Dunn检验,劳动节,端午节,z,-0.0198994550166,0.984123579894,Holm,1,False,rank_biserial_r,-0.333333333333
总点击量,Dunn检验,劳动节,国庆/中秋假期,z,-0.0220281572162,0.982425494774,Holm,1,False,rank_biserial_r,0.35
总点击量,Dunn检验,端午节,国庆/中秋假期,z,0.0029165673555,0.997672919236,Holm,1,False,rank_biserial_r,0.416666666667
CTR,Dunn检验,普通工作日,普通周末,z,0.998183831302,0.318190225307,Holm,1,False,rank_biserial_r,0.0796031170714
CTR,Dunn检验,普通工作日,元旦,z,-1.57080582721,0.11622775812,Holm,1,False,rank_biserial_r,-0.959677419355
CTR,Dunn检验,普通工作日,春节,z,-4.05853155561,4.93822613635e-05,Holm,0.00118517427272,True,rank_biserial_r,-0.901209677419
CTR,Dunn检验,普通工作日,清明节,z,2.73474725937,0.00624281892427,Holm,0.123358949038,False,rank_biserial_r,0.89247311828
CTR,Dunn检验,普通工作日,劳动节,z,2.73461864795,0.0062452583407,Holm,0.123358949038,False,rank_biserial_r,0.691935483871
CTR,Dunn检验,普通工作日,端午节,z,1.32600419377,0.184838308264,Holm,1,False,rank_biserial_r,0.502688172043
CTR,Dunn检验,普通工作日,国庆/中秋假期,z,3.31273415854,0.000923887512253,Holm,0.0212494127818,True,rank_biserial_r,0.662298387097
CTR,Dunn检验,普通周末,元旦,z,-1.68785394692,0.0914392688836,Holm,1,False,rank_biserial_r,-0.932584269663
CTR,Dunn检验,普通周末,春节,z,-4.28393693742,1.83614976186e-05,Holm,0.000459037440466,True,rank_biserial_r,-0.870786516854
CTR,Dunn检验,普通周末,清明节,z,2.49588993228,0.0125641580378,Holm,0.188462370568,False,rank_biserial_r,0.902621722846
CTR,Dunn检验,普通周末,劳动节,z,2.41922355388,0.0155536780826,Holm,0.217751493157,False,rank_biserial_r,0.806741573034
CTR,Dunn检验,普通周末,端午节,z,1.10195050797,0.270483188658,Holm,1,False,rank_biserial_r,0.348314606742
CTR,Dunn检验,普通周末,国庆/中秋假期,z,2.88979831679,0.00385489056283,Holm,0.0809527018195,False,rank_biserial_r,0.710674157303
CTR,Dunn检验,元旦,春节,z,0.109462031107,0.912836035548,Holm,1,False,rank_biserial_r,0.5
CTR,Dunn检验,元旦,清明节,z,2.73871682186,0.00616794745191,Holm,0.123358949038,False,rank_biserial_r,1
CTR,Dunn检验,元旦,劳动节,z,2.56443237573,0.0103344715511,Holm,0.165351544817,False,rank_biserial_r,1
CTR,Dunn检验,元旦,端午节,z,2.03009778404,0.0423466007393,Holm,0.550505809611,False,rank_biserial_r,1
CTR,Dunn检验,元旦,国庆/中秋假期,z,2.60586651604,0.00916421680752,Holm,0.155791685728,False,rank_biserial_r,1
CTR,Dunn检验,春节,清明节,z,4.49967706241,6.80567725584e-06,Holm,0.000176947608652,True,rank_biserial_r,1
CTR,Dunn检验,春节,劳动节,z,4.72399745296,2.31253313473e-06,Holm,6.24383946377e-05,True,rank_biserial_r,1
CTR,Dunn检验,春节,端午节,z,3.29105237051,0.000998133293735,Holm,0.0219589324622,True,rank_biserial_r,1
CTR,Dunn检验,春节,国庆/中秋假期,z,5.29567361964,1.185784673e-07,Holm,3.3201970844e-06,True,rank_biserial_r,1
CTR,Dunn检验,清明节,劳动节,z,-0.483642948054,0.628639289152,Holm,1,False,rank_biserial_r,-1
CTR,Dunn检验,清明节,端午节,z,-1.00213865385,0.316276631356,Holm,1,False,rank_biserial_r,-1
CTR,Dunn检验,清明节,国庆/中秋假期,z,-0.588562892918,0.556154532278,Holm,1,False,rank_biserial_r,-0.583333333333
CTR,Dunn检验,劳动节,端午节,z,-0.636782128386,0.524266768704,Holm,1,False,rank_biserial_r,-1
CTR,Dunn检验,劳动节,国庆/中秋假期,z,-0.0793844372265,0.936726846867,Holm,1,False,rank_biserial_r,0.45
CTR,Dunn检验,端午节,国庆/中秋假期,z,0.620061798981,0.535217101251,Holm,1,False,rank_biserial_r,0.75
CPC,Dunn检验,普通工作日,普通周末,z,0.249661924039,0.802848806069,Holm,1,False,rank_biserial_r,0.0189380210221
CPC,Dunn检验,普通工作日,元旦,z,-1.42722854484,0.153514029211,Holm,1,False,rank_biserial_r,-0.846774193548
CPC,Dunn检验,普通工作日,春节,z,-3.59206219171,0.000328071526868,Holm,0.00787371664484,True,rank_biserial_r,-0.778225806452
CPC,Dunn检验,普通工作日,清明节,z,0.785015840018,0.432444281466,Holm,1,False,rank_biserial_r,0.274193548387
CPC,Dunn检验,普通工作日,劳动节,z,3.19579879675,0.00139444315411,Holm,0.0306777493905,True,rank_biserial_r,0.841935483871
CPC,Dunn检验,普通工作日,端午节,z,-2.71236537733,0.00668049109452,Holm,0.113568348607,False,rank_biserial_r,-0.913978494624
CPC,Dunn检验,普通工作日,国庆/中秋假期,z,3.12617822591,0.00177094188945,Holm,0.0371897796785,True,rank_biserial_r,0.664314516129
CPC,Dunn检验,普通周末,元旦,z,-1.45281343095,0.146275561823,Holm,1,False,rank_biserial_r,-0.842696629213
CPC,Dunn检验,普通周末,春节,z,-3.57938405879,0.000344405004817,Holm,0.00792131511079,True,rank_biserial_r,-0.77808988764
CPC,Dunn检验,普通周末,清明节,z,0.724212290812,0.468935414041,Holm,1,False,rank_biserial_r,0.303370786517
CPC,Dunn检验,普通周末,劳动节,z,3.07371195,0.00211413452484,Holm,0.0422826904967,True,rank_biserial_r,0.811235955056
CPC,Dunn检验,普通周末,端午节,z,-2.73641703169,0.0062112255594,Holm,0.111802060069,False,rank_biserial_r,-0.932584269663
CPC,Dunn检验,普通周末,国庆/中秋假期,z,2.95882525275,0.00308814162911,Holm,0.0586746909531,False,rank_biserial_r,0.662921348315
CPC,Dunn检验,元旦,春节,z,0.131801212997,0.895141527091,Holm,1,False,rank_biserial_r,0.75
CPC,Dunn检验,元旦,清明节,z,1.63338046132,0.102389003759,Holm,1,False,rank_biserial_r,1
CPC,Dunn检验,元旦,劳动节,z,2.62326534532,0.00870914148338,Holm,0.139346263734,False,rank_biserial_r,1
CPC,Dunn检验,元旦,端午节,z,-0.125855110922,0.899846616342,Holm,1,False,rank_biserial_r,-1
CPC,Dunn检验,元旦,国庆/中秋假期,z,2.40704757634,0.0160820746354,Holm,0.209066970261,False,rank_biserial_r,1
CPC,Dunn检验,春节,清明节,z,2.57941025958,0.00989691695916,Holm,0.148453754387,False,rank_biserial_r,1
CPC,Dunn检验,春节,劳动节,z,4.79548471315,1.62281945841e-06,Holm,4.38161253771e-05,True,rank_biserial_r,1
CPC,Dunn检验,春节,端午节,z,-0.421152014341,0.673644081772,Holm,1,False,rank_biserial_r,-1
CPC,Dunn检验,春节,国庆/中秋假期,z,4.82652639718,1.38934986094e-06,Holm,3.89017961064e-05,True,rank_biserial_r,1
CPC,Dunn检验,清明节,劳动节,z,1.35229674628,0.176280404859,Holm,1,False,rank_biserial_r,1
CPC,Dunn检验,清明节,端午节,z,-2.48793480567,0.0128487284201,Holm,0.179882197882,False,rank_biserial_r,-1
CPC,Dunn检验,清明节,国庆/中秋假期,z,0.985215723299,0.324518118932,Holm,1,False,rank_biserial_r,1
CPC,Dunn检验,劳动节,端午节,z,-4.13389242082,3.5667047726e-05,Holm,0.000927343240876,True,rank_biserial_r,-1
CPC,Dunn检验,劳动节,国庆/中秋假期,z,-0.562341031105,0.573883687782,Holm,1,False,rank_biserial_r,-0.8
CPC,Dunn检验,端午节,国庆/中秋假期,z,3.98577799722,6.72593770602e-05,Holm,0.0016814844265,True,rank_biserial_r,1
新注册数,Dunn检验,普通工作日,普通周末,z,2.79664690415,0.0051635930652,Holm,0.113599047434,False,rank_biserial_r,0.21262232693
新注册数,Dunn检验,普通工作日,元旦,z,1.20296822644,0.228988616351,Holm,1,False,rank_biserial_r,0.741935483871
新注册数,Dunn检验,普通工作日,春节,z,4.54795237741,5.41703891246e-06,Holm,0.000151677089549,True,rank_biserial_r,0.892137096774
新注册数,Dunn检验,普通工作日,清明节,z,3.163135356,0.00156079744427,Holm,0.0358983412183,True,rank_biserial_r,0.961021505376
新注册数,Dunn检验,普通工作日,劳动节,z,3.39876830719,0.000676900326257,Holm,0.0169225081564,True,rank_biserial_r,0.864516129032
新注册数,Dunn检验,普通工作日,端午节,z,2.62736870209,0.00860480420773,Holm,0.180700888362,False,rank_biserial_r,0.864247311828
新注册数,Dunn检验,普通工作日,国庆/中秋假期,z,4.24617057007,2.17455112249e-05,Holm,0.000587128803073,True,rank_biserial_r,0.844758064516
新注册数,Dunn检验,普通周末,元旦,z,0.85503439236,0.392532108247,Holm,1,False,rank_biserial_r,0.584269662921
新注册数,Dunn检验,普通周末,春节,z,3.48984210324,0.000483306015393,Holm,0.0125659564002,True,rank_biserial_r,0.866573033708
新注册数,Dunn检验,普通周末,清明节,z,2.54119663103,0.0110473770662,Holm,0.209900164258,False,rank_biserial_r,0.951310861423
新注册数,Dunn检验,普通周末,劳动节,z,2.58843340526,0.00964135875628,Holm,0.192827175126,False,rank_biserial_r,0.806741573034
新注册数,Dunn检验,普通周末,端午节,z,2.01106002959,0.0443191164221,Holm,0.797744095598,False,rank_biserial_r,0.816479400749
新注册数,Dunn检验,普通周末,国庆/中秋假期,z,3.19614725159,0.00139276012442,Holm,0.0334262429862,True,rank_biserial_r,0.789325842697
新注册数,Dunn检验,元旦,春节,z,0.403787760176,0.68636879788,Holm,1,False,rank_biserial_r,1
新注册数,Dunn检验,元旦,清明节,z,0.547205519675,0.584237544494,Holm,1,False,rank_biserial_r,1
新注册数,Dunn检验,元旦,劳动节,z,0.301092347528,0.763344076223,Holm,1,False,rank_biserial_r,1
新注册数,Dunn检验,元旦,端午节,z,0.277706801235,0.78123743926,Holm,1,False,rank_biserial_r,1
新注册数,Dunn检验,元旦,国庆/中秋假期,z,0.301584219219,0.762969039424,Holm,1,False,rank_biserial_r,0.75
新注册数,Dunn检验,春节,清明节,z,0.300703029152,0.763640958707,Holm,1,False,rank_biserial_r,0.666666666667
新注册数,Dunn检验,春节,劳动节,z,-0.172695274144,0.862890958667,Holm,1,False,rank_biserial_r,-0.35
新注册数,Dunn检验,春节,端午节,z,-0.158955529474,0.873703910609,Holm,1,False,rank_biserial_r,-0.25
新注册数,Dunn检验,春节,国庆/中秋假期,z,-0.216806450617,0.828359184662,Holm,1,False,rank_biserial_r,-0.1875
新注册数,Dunn检验,清明节,劳动节,z,-0.413569373903,0.679189506288,Holm,1,False,rank_biserial_r,-1
新注册数,Dunn检验,清明节,端午节,z,-0.38112874266,0.703107720561,Holm,1,False,rank_biserial_r,-1
新注册数,Dunn检验,清明节,国庆/中秋假期,z,-0.460825204714,0.644924017053,Holm,1,False,rank_biserial_r,-0.875
新注册数,Dunn检验,劳动节,端午节,z,-0.0125455144803,0.989990390258,Holm,1,False,rank_biserial_r,-0.2
新注册数,Dunn检验,劳动节,国庆/中秋假期,z,-0.0174565620073,0.986072386057,Holm,1,False,rank_biserial_r,0.175
新注册数,Dunn检验,端午节,国庆/中秋假期,z,-0.00116664608788,0.99906915131,Holm,1,False,rank_biserial_r,0.416666666667
