序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,CPC,浏览深度,跳出率,非跳出率,平均访问时长_秒,消费额_标准化,CPC_标准化,点击量_标准化,浏览深度_标准化,非跳出率_标准化,平均访问时长_标准化,CostScore,BenefitScore,成本高低,效益高低,最终类别,zero_effect,anomaly_flag,anomaly_reasons,常规评分可用,成本阈值距离,效益阈值距离,成本边界敏感,效益边界敏感,boundary_sensitive,等权CostScore,等权BenefitScore,等权最终类别,中位数最终类别,分类处理说明
22,2590,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
23,2789,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
24,2889,63563817,1841014603,1.89,1,1,1.89,1,1,0,21,0.212949101796,0.851796407186,0.0815868263473,0.40119760479,0.171407185629,0.208083832335,0.532372604534,0.203383814185,高,低,问题词,False,False,,True,0.03591390358,0.287883726821,False,False,False,0.532372754491,0.215568862275,问题词,问题词,常规CRITIC+一维KMeans
25,2892,63563817,1841014603,30.77,18,54,1.70944444444,3,0.6842,0.3158,119,0.72380239521,0.814371257485,0.670658682635,0.852170658683,0.663922155689,0.589446107784,0.769086805088,0.690699996957,高,高,重点词,False,False,,True,0.272628104134,0.19943245595,False,False,False,0.769086826347,0.694049401198,重点词,重点词,常规CRITIC+一维KMeans
26,2980,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
27,2985,63563817,1841014603,114.03,75,197,1.5204,2.62666666667,0.6901,0.3099,164,0.837574850299,0.751497005988,0.855538922156,0.819610778443,0.659431137725,0.714071856287,0.794535948349,0.763191188463,高,高,重点词,False,False,,True,0.298077247395,0.271923647456,False,False,False,0.794535928144,0.762163173653,重点词,重点词,常规CRITIC+一维KMeans
28,3106,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
29,3160,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
30,3169,63563817,1841014603,5.66,4,4,1.415,1,1,0,7,0.427020958084,0.691991017964,0.354416167665,0.40119760479,0.171407185629,0.150074850299,0.559505925827,0.270001221236,高,低,问题词,False,False,,True,0.0630472248736,0.22126631977,False,False,False,0.559505988024,0.269273952096,问题词,问题词,常规CRITIC+一维KMeans
31,3304,63563817,1841014603,7.68,5,6,1.536,1.2,0.75,0.25,50,0.49251497006,0.756736526946,0.400449101796,0.552020958084,0.591317365269,0.329341317365,0.624625686482,0.470305367312,高,低,问题词,False,False,,True,0.128166985528,0.0209621736942,False,False,False,0.624625748503,0.468282185629,问题词,问题词,常规CRITIC+一维KMeans
32,3334,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
33,3485,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
34,3501,63563817,1841014603,13.49,8,40,1.68625,5,0.75,0.25,361,0.588323353293,0.805389221557,0.504491017964,0.927769461078,0.591317365269,0.898952095808,0.696856236473,0.706376192978,高,高,重点词,False,False,,True,0.200397535519,0.215108651972,False,False,False,0.696856287425,0.73063248503,重点词,重点词,常规CRITIC+一维KMeans
35,3732,63563817,1841014603,15.92,10,11,1.592,1.1,0.9,0.1,29,0.622005988024,0.777694610778,0.55127245509,0.528443113772,0.41130239521,0.237275449102,0.699850262856,0.43961481767,高,低,问题词,False,False,,True,0.203391561903,0.0516527233369,False,False,False,0.699850299401,0.432073353293,问题词,问题词,常规CRITIC+一维KMeans
36,3840,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
37,4043,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
38,4048,63563817,1841014603,2.81,2,23,1.405,11.5,0,1,477,0.27994011976,0.684880239521,0.211826347305,0.991017964072,0.953967065868,0.937125748503,0.482410084589,0.74282795662,低,高,黄金词,False,False,,True,0.014048616365,0.251560415614,True,False,True,0.482410179641,0.773484281437,黄金词,黄金词,常规CRITIC+一维KMeans
39,4183,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
40,4186,63563817,1841014603,3.17,2,3,1.585,1.5,0.5,0.5,124,0.306886227545,0.773952095808,0.211826347305,0.630613772455,0.817739520958,0.646332335329,0.540419052042,0.563670949907,高,高,重点词,False,False,,True,0.0439603510881,0.0724034089005,False,False,False,0.540419161677,0.576627994012,重点词,重点词,常规CRITIC+一维KMeans
41,4195,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
42,4675,63563817,1841014603,1.45,1,3,1.45,3,0,1,42,0.157185628743,0.712949101796,0.0815868263473,0.852170658683,0.953967065868,0.288547904192,0.435067234814,0.533596000563,低,高,黄金词,False,False,,True,0.0613914661392,0.0423284595566,False,False,False,0.435067365269,0.544068113772,黄金词,黄金词,常规CRITIC+一维KMeans
43,4713,63563817,1841014603,7.19,4,8,1.7975,2,0.5,0.5,31,0.478293413174,0.831586826347,0.354416167665,0.744011976048,0.817739520958,0.243637724551,0.654940036831,0.542166064662,高,高,重点词,False,False,,True,0.158481335878,0.0508985236557,False,False,False,0.65494011976,0.539951347305,重点词,重点词,常规CRITIC+一维KMeans
44,4773,63563817,1841014603,52.44,31,42,1.69161290323,1.35483870968,0.8621,0.1379,48,0.785179640719,0.806886227545,0.75748502994,0.597305389222,0.449850299401,0.31998502994,0.796032929037,0.54307714331,高,高,重点词,False,False,,True,0.299574228083,0.0518096023039,False,False,False,0.796032934132,0.531156437126,重点词,重点词,常规CRITIC+一维KMeans
45,4827,63563817,1841014603,14.14,7,13,2.02,1.85714285714,0.6667,0.3333,255,0.59880239521,0.876497005988,0.47380239521,0.706961077844,0.688622754491,0.833832335329,0.737649635415,0.661827004668,高,高,重点词,False,False,,True,0.241190934462,0.170559463661,False,False,False,0.737649700599,0.675804640719,重点词,重点词,常规CRITIC+一维KMeans
46,4868,63563817,1841014603,6.19,3,3,2.06333333333,1,1,0,191,0.44872754491,0.879491017964,0.294161676647,0.40119760479,0.171407185629,0.757859281437,0.664109180324,0.384766423256,高,低,问题词,False,False,,True,0.16765047937,0.106501117751,False,False,False,0.664109281437,0.406156437126,问题词,问题词,常规CRITIC+一维KMeans
47,5001,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
48,5010,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
49,5134,63563817,1841014603,68.89,48,115,1.43520833333,2.39583333333,0.6744,0.3256,178,0.808383233533,0.705089820359,0.812874251497,0.791916167665,0.668413173653,0.738398203593,0.756736551192,0.752518373032,高,高,重点词,False,False,,True,0.260277850239,0.261250832026,False,False,False,0.756736526946,0.752900449102,重点词,重点词,常规CRITIC+一维KMeans
50,5176,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
51,5190,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
52,5267,63563817,1841014603,3.36,2,4,1.68,2,0.5,0.5,133,0.311002994012,0.800898203593,0.211826347305,0.744011976048,0.817739520958,0.665793413174,0.555950483809,0.592621158536,高,高,重点词,False,False,,True,0.0594917828551,0.101353617529,False,False,False,0.555950598802,0.609842814371,重点词,重点词,常规CRITIC+一维KMeans
53,5307,63563817,1841014603,88.18,34,40,2.59352941176,1.17647058824,0.6667,0.3333,90,0.821107784431,0.911676646707,0.766092814371,0.547155688623,0.688622754491,0.510104790419,0.86639219431,0.641441696052,高,高,重点词,False,False,,True,0.369933493356,0.150174155046,False,False,False,0.866392215569,0.627994011976,重点词,重点词,常规CRITIC+一维KMeans
54,5310,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
55,5330,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
56,5353,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
57,5374,63563817,1841014603,38.32,26,33,1.47384615385,1.26923076923,0.7895,0.2105,153,0.752994011976,0.726796407186,0.729041916168,0.573353293413,0.546407185629,0.69872754491,0.73989521573,0.638472866281,高,高,重点词,False,False,,True,0.243436514777,0.147205325274,False,False,False,0.739895209581,0.63688248503,重点词,重点词,常规CRITIC+一维KMeans
58,5393,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
59,5418,63563817,1841014603,16.8,10,27,1.68,2.7,0.8,0.2,104,0.627994011976,0.802395209581,0.55127245509,0.825224550898,0.529565868263,0.556137724551,0.715194569841,0.606091650238,高,高,重点词,False,False,,True,0.218735868887,0.114824109232,False,False,False,0.715194610778,0.615550149701,重点词,重点词,常规CRITIC+一维KMeans
60,5592,63563817,1841014603,7.11,4,3,1.7775,0.75,1,0,7,0.475673652695,0.828592814371,0.354416167665,0.197604790419,0.171407185629,0.150074850299,0.652133150692,0.225628235149,高,低,问题词,False,False,,True,0.155674449738,0.265639305858,False,False,False,0.652133233533,0.218375748503,问题词,问题词,常规CRITIC+一维KMeans
61,5701,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
62,5758,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
63,5801,63563817,1841014603,0.5,1,2,0.5,2,0,1,32,0.0404191616766,0.0924401197605,0.0815868263473,0.744011976048,0.953967065868,0.247005988024,0.0664296285076,0.500982525179,低,高,黄金词,False,False,,True,0.430029072446,0.00971498417208,False,True,True,0.0664296407186,0.506642964072,黄金词,潜力词,常规CRITIC+一维KMeans
64,5812,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
65,5849,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
66,5973,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
67,5976,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
68,6082,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
69,6083,63563817,1841014603,126.96,76,279,1.67052631579,3.67105263158,0.6053,0.3947,197,0.853293413174,0.798652694611,0.857035928144,0.883982035928,0.741766467066,0.770958083832,0.825973066718,0.81259413659,高,高,重点词,False,False,,True,0.329514365764,0.321326595584,False,False,False,0.825973053892,0.813435628743,重点词,重点词,常规CRITIC+一维KMeans
70,6086,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
71,6149,63563817,1841014603,183.37,97,613,1.89041237113,6.31958762887,0.4804,0.5196,397,0.875748502994,0.85254491018,0.872005988024,0.959580838323,0.843188622754,0.91504491018,0.864146712033,0.892563381875,高,高,重点词,False,False,,True,0.36768801108,0.401295840868,False,False,False,0.864146706587,0.89745508982,重点词,重点词,常规CRITIC+一维KMeans
72,6299,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
73,6325,63563817,1841014603,18.15,9,13,2.01666666667,1.44444444444,0.75,0.25,41,0.642215568862,0.874251497006,0.53255988024,0.61377245509,0.591317365269,0.283682634731,0.758233478468,0.512198479985,高,高,重点词,False,False,,True,0.261774777514,0.0209309389788,False,False,False,0.758233532934,0.505333083832,重点词,重点词,常规CRITIC+一维KMeans
74,6352,63563817,1841014603,61.07,36,181,1.69638888889,5.02777777778,0.4286,0.5714,404,0.800149700599,0.808383233533,0.773952095808,0.931137724551,0.858158682635,0.919161676647,0.804266465133,0.862882687792,高,高,重点词,False,False,,True,0.30780776418,0.371615146785,False,False,False,0.804266467066,0.87060254491,重点词,重点词,常规CRITIC+一维KMeans
75,6364,63563817,1841014603,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
76,6414,63563817,1841014603,1.78,1,1,1.78,1,1,0,260,0.194236526946,0.829341317365,0.0815868263473,0.40119760479,0.171407185629,0.837574850299,0.511788773077,0.340373266578,高,低,问题词,False,False,,True,0.0153300721232,0.150894274428,True,False,True,0.511788922156,0.372941616766,问题词,问题词,常规CRITIC+一维KMeans
77,56,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
78,480,63563817,2526158329,12.25,4,4,3.0625,1,1,0,187,0.572604790419,0.931886227545,0.354416167665,0.40119760479,0.171407185629,0.750748502994,0.752245424647,0.40071945613,高,低,问题词,False,False,,True,0.255786723694,0.0905480848765,False,False,False,0.752245508982,0.419442365269,问题词,问题词,常规CRITIC+一维KMeans
79,770,63563817,2526158329,41.28,30,49,1.376,1.63333333333,0.75,0.25,107,0.760479041916,0.668413173653,0.75374251497,0.657934131737,0.591317365269,0.563997005988,0.714446129395,0.647066223955,高,高,重点词,False,False,,True,0.217987428442,0.155798682949,False,False,False,0.714446107784,0.641747754491,重点词,重点词,常规CRITIC+一维KMeans
80,846,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
81,934,63563817,2526158329,3.84,2,4,1.92,2,0.5,0.5,16,0.337200598802,0.86002994012,0.211826347305,0.744011976048,0.817739520958,0.195733532934,0.598615146737,0.490327013348,高,低,问题词,False,False,,True,0.102156445783,0.000940527658398,False,True,True,0.598615269461,0.492327844311,问题词,问题词,常规CRITIC+一维KMeans
82,1262,63563817,2526158329,2.21,1,1,2.21,1,1,0,11,0.240269461078,0.891467065868,0.0815868263473,0.40119760479,0.171407185629,0.175523952096,0.565868110617,0.196298152855,高,低,问题词,False,False,,True,0.069409409663,0.294969388152,False,False,False,0.565868263473,0.207428892216,问题词,问题词,常规CRITIC+一维KMeans
83,1277,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
84,1385,63563817,2526158329,11.15,5,9,2.23,1.8,1,0,43,0.556137724551,0.892215568862,0.400449101796,0.693113772455,0.171407185629,0.294535928144,0.724176567819,0.378431713627,高,低,问题词,False,False,,True,0.227717866865,0.112835827379,False,False,False,0.724176646707,0.389876497006,问题词,问题词,常规CRITIC+一维KMeans
85,2052,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
86,2373,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
87,2397,63563817,2526158329,8.06,6,24,1.34333333333,4,0.75,0.25,293,0.500374251497,0.650074850299,0.440119760479,0.898577844311,0.591317365269,0.864895209581,0.575224515759,0.673906290103,高,高,重点词,False,False,,True,0.0787658148052,0.182638749097,False,False,False,0.575224550898,0.69872754491,重点词,重点词,常规CRITIC+一维KMeans
88,2514,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
89,2942,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
90,3286,63563817,2526158329,1.9,1,1,1.9,1,1,0,19,0.214446107784,0.854416167665,0.0815868263473,0.40119760479,0.171407185629,0.202844311377,0.534430987504,0.202243592822,高,低,问题词,False,False,,True,0.03797228655,0.289023948185,False,False,False,0.534431137725,0.214258982036,问题词,问题词,常规CRITIC+一维KMeans
91,3791,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
92,4113,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
93,4348,63563817,2526158329,23.31,12,15,1.9425,1.25,0.8333,0.1667,25,0.688622754491,0.862275449102,0.585703592814,0.565119760479,0.487275449102,0.223053892216,0.775449061035,0.475329590702,高,低,问题词,False,False,,True,0.278990360081,0.0159379503043,False,True,True,0.775449101796,0.465288173653,问题词,问题词,常规CRITIC+一维KMeans
94,4497,63563817,2526158329,15.14,10,30,1.514,3,0.963,0.037,30,0.613023952096,0.748502994012,0.55127245509,0.852170658683,0.350299401198,0.241392215569,0.680763441253,0.494352912519,高,高,重点词,False,False,,True,0.184304740299,0.00308537151286,False,True,True,0.680763473054,0.498783682635,问题词,问题词,常规CRITIC+一维KMeans
95,5236,63563817,2526158329,7.11,5,36,1.422,7.2,0.5,0.5,1272,0.475673652695,0.696856287425,0.400449101796,0.967814371257,0.817739520958,0.991766467066,0.586264918141,0.767120972989,高,高,重点词,False,False,,True,0.0898062171878,0.275853431983,False,False,False,0.58626497006,0.794442365269,重点词,重点词,常规CRITIC+一维KMeans
96,5700,63563817,2526158329,3.63,2,1,1.815,0.5,1,0,3,0.329715568862,0.837574850299,0.211826347305,0.109281437126,0.171407185629,0.112275449102,0.58364509037,0.156738136743,高,低,问题词,False,False,,True,0.0871863894168,0.334529404263,False,False,False,0.583645209581,0.15119760479,问题词,问题词,常规CRITIC+一维KMeans
97,5910,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
98,5942,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
99,6014,63563817,2526158329,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
100,6207,63563817,2526158329,2.68,2,3,1.34,1.5,0,1,19,0.269835329341,0.646332335329,0.211826347305,0.630613772455,0.953967065868,0.202844311377,0.45808374396,0.504484103422,低,高,黄金词,False,False,,True,0.0383749569939,0.0132165624154,False,True,True,0.458083832335,0.499812874251,潜力词,潜力词,常规CRITIC+一维KMeans
101,6545,63563817,2526158329,14.84,6,37,2.47333333333,6.16666666667,0.5714,0.4286,180,0.607784431138,0.906437125749,0.440119760479,0.958832335329,0.769835329341,0.739895209581,0.75711070834,0.708748138104,高,高,重点词,False,False,,True,0.260652007386,0.217480597098,False,False,False,0.757110778443,0.727170658683,重点词,重点词,常规CRITIC+一维KMeans
102,6604,63563817,2526158329,1.8,1,2,1.8,2,0,1,9,0.197604790419,0.833458083832,0.0815868263473,0.744011976048,0.953967065868,0.163547904192,0.515531287871,0.482820427745,高,低,问题词,False,False,,True,0.0190725869175,0.00844711326173,False,True,True,0.515531437126,0.485778443114,问题词,问题词,常规CRITIC+一维KMeans
103,18,63563817,2874903000,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
104,19,63563817,2874903000,0,0,0,,,,,,,,,,,,,,,,无效词,True,False,,False,,,False,False,False,,,无效词,无效词,结构性无成本无效益，先行归为无效词
105,147,63563817,2874903000,41.96,37,51,1.13405405405,1.37837837838,0.9565,0.0435,80,0.761976047904,0.523203592814,0.776946107784,0.60254491018,0.354790419162,0.470808383234,0.642589876407,0.556648218415,高,高,重点词,False,False,,True,0.146131175453,0.0653806774081,False,False,False,0.642589820359,0.55127245509,重点词,重点词,常规CRITIC+一维KMeans
106,193,63563817,2874903000,4.83,5,4,0.966,0.8,1,0,63,0.389595808383,0.402694610778,0.400449101796,0.225299401198,0.171407185629,0.39745508982,0.396145206506,0.298868932568,低,低,潜力词,False,False,,True,0.100313494447,0.192398608439,False,False,False,0.396145209581,0.298652694611,潜力词,潜力词,常规CRITIC+一维KMeans
107,384,63563817,2874903000,25.16,17,21,1.48,1.23529411765,0.8824,0.1176,67,0.700598802395,0.730913173653,0.657934131737,0.562125748503,0.430389221557,0.416541916168,0.715755980908,0.522176466222,高,高,重点词,False,False,,True,0.219297279955,0.0309089252158,False,False,False,0.715755988024,0.516747754491,重点词,重点词,常规CRITIC+一维KMeans
