指标,假期,推断类型,假期样本数,局部配对数,假期中位数,局部对照中位数,中位数相对变化率,检验方法,统计量名称,统计量,原始p值,校正方法,校正p值,校正后显著,效应量名称,效应量,说明
CTR,春节,正式配对检验,8,8,0.1170735,0.08890275,0.316871525347,Wilcoxon配对符号秩检验,W,1,0.015625,Holm（同一指标的5个假期）,0.078125,False,paired_rank_biserial_r,0.944444444444,正效应量表示假期值整体高于同星期局部对照
CTR,清明节,正式配对检验,3,3,0.01761,0.0646475,-0.727599675161,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
CTR,劳动节,正式配对检验,5,5,0.021704,0.0356525,-0.391234836267,Wilcoxon配对符号秩检验,W,0,0.0625,Holm（同一指标的5个假期）,0.1875,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
CTR,端午节,正式配对检验,3,3,0.026868,0.0294255,-0.0869144109701,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
CTR,国庆/中秋假期,正式配对检验,8,8,0.019612,0.035421,-0.446317156489,Wilcoxon配对符号秩检验,W,3,0.0390625,Holm（同一指标的5个假期）,0.15625,False,paired_rank_biserial_r,-0.833333333333,正效应量表示假期值整体高于同星期局部对照
CPC,春节,正式配对检验,8,8,2.508608,2.48561375,0.0092509345026,Wilcoxon配对符号秩检验,W,15,0.7421875,Holm（同一指标的5个假期）,0.75,False,paired_rank_biserial_r,0.166666666667,正效应量表示假期值整体高于同星期局部对照
CPC,清明节,正式配对检验,3,3,1.448472,0.9335785,0.551526732889,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.75,False,paired_rank_biserial_r,1,正效应量表示假期值整体高于同星期局部对照
CPC,劳动节,正式配对检验,5,5,0.971132,1.6320465,-0.404960581699,Wilcoxon配对符号秩检验,W,0,0.0625,Holm（同一指标的5个假期）,0.25,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
CPC,端午节,正式配对检验,3,3,2.678223,1.1286635,1.3729153995,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.75,False,paired_rank_biserial_r,1,正效应量表示假期值整体高于同星期局部对照
CPC,国庆/中秋假期,正式配对检验,8,8,1.1035395,1.54249125,-0.284573251226,Wilcoxon配对符号秩检验,W,1,0.015625,Holm（同一指标的5个假期）,0.078125,False,paired_rank_biserial_r,-0.944444444444,正效应量表示假期值整体高于同星期局部对照
新注册数,春节,正式配对检验,8,8,49.5,219.75,-0.774744027304,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
新注册数,清明节,正式配对检验,3,3,28,206,-0.864077669903,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
新注册数,劳动节,正式配对检验,5,5,60,288.5,-0.792027729636,Wilcoxon配对符号秩检验,W,0,0.0625,Holm（同一指标的5个假期）,0.1875,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
新注册数,端午节,正式配对检验,3,3,69,169,-0.591715976331,Wilcoxon配对符号秩检验,W,0,0.25,Holm（同一指标的5个假期）,0.5,False,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
新注册数,国庆/中秋假期,正式配对检验,8,8,56.5,275.75,-0.795104261106,Wilcoxon配对符号秩检验,W,0,0.0078125,Holm（同一指标的5个假期）,0.0390625,True,paired_rank_biserial_r,-1,正效应量表示假期值整体高于同星期局部对照
总消费额,元旦,仅描述,1,14,937.45,3034.935,-0.691113648233,未检验,,,,不适用,,False,未计算,,元旦仅1天；局部参照为数据范围内其后14天的非节假日
总点击量,元旦,仅描述,1,14,359,1140.5,-0.685225778167,未检验,,,,不适用,,False,未计算,,元旦仅1天；局部参照为数据范围内其后14天的非节假日
CTR,元旦,仅描述,1,14,0.130025,0.0987835,0.31626233126,未检验,,,,不适用,,False,未计算,,元旦仅1天；局部参照为数据范围内其后14天的非节假日
CPC,元旦,仅描述,1,14,2.611281,2.6227195,-0.0043613127519,未检验,,,,不适用,,False,未计算,,元旦仅1天；局部参照为数据范围内其后14天的非节假日
新注册数,元旦,仅描述,1,14,102,264.5,-0.614366729679,未检验,,,,不适用,,False,未计算,,元旦仅1天；局部参照为数据范围内其后14天的非节假日
