假期,假期日期,星期,前置对照日期,前置间隔天数,后置对照日期,后置间隔天数,匹配规则,总消费额_假期值,总消费额_前置对照值,总消费额_后置对照值,总消费额_配对对照均值,总点击量_假期值,总点击量_前置对照值,总点击量_后置对照值,总点击量_配对对照均值,CTR_假期值,CTR_前置对照值,CTR_后置对照值,CTR_配对对照均值,CPC_假期值,CPC_前置对照值,CPC_后置对照值,CPC_配对对照均值,新注册数_假期值,新注册数_前置对照值,新注册数_后置对照值,新注册数_配对对照均值
清明节,2025-04-06,周日,2025-03-30,7,2025-04-13,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,521.5,1009.59,962.8,986.195,369,740,1639,1189.5,0.020125,0.014733,0.16034,0.0875365,1.413279,1.364311,0.587431,0.975871,45,17,164,90.5
劳动节,2025-05-01,周四,2025-04-24,7,2025-05-08,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,439.12,8352.19,4426.36,6389.275,459,5971,2373,4172,0.020968,0.053841,0.022144,0.0379925,0.956688,1.398792,1.865301,1.6320465,50,478,268,373
劳动节,2025-05-02,周五,2025-04-25,7,2025-05-09,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,530.86,5414.23,6155.26,5784.745,483,4349,2607,3478,0.021169,0.040688,0.020992,0.03084,1.099089,1.244937,2.361051,1.802994,51,305,272,288.5
劳动节,2025-05-03,周六,2025-04-26,7,2025-05-10,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,540.67,5551.69,7902.11,6726.9,552,3547,3864,3705.5,0.022681,0.037881,0.033433,0.035657,0.979475,1.565179,2.04506,1.8051195,60,277,323,300
劳动节,2025-05-04,周日,2025-04-27,7,2025-05-11,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,617.64,1692.87,5787.92,3740.395,636,1777,3416,2596.5,0.021704,0.041362,0.029943,0.0356525,0.971132,0.952656,1.694356,1.323506,76,159,269,214
劳动节,2025-05-05,周一,2025-04-28,7,2025-05-12,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,843.3,4690.49,2435.56,3563.025,888,2893,1617,2255,0.023024,0.029153,0.029943,0.029548,0.949662,1.621324,1.506221,1.5637725,96,209,165,187
端午节,2025-05-31,周六,2025-05-24,7,2025-06-07,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1861.89,3110.35,4014.07,3562.21,686,3406,1282,2344,0.028854,0.033599,0.026663,0.030131,2.714125,0.913197,3.1311,2.0221485,71,222,116,169
端午节,2025-06-01,周日,2025-05-25,7,2025-06-08,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1612.29,1521.4,3007.1,2264.25,602,1503,2739,2121,0.026868,0.027377,0.031474,0.0294255,2.678223,1.012242,1.097882,1.055062,69,147,193,170
端午节,2025-06-02,周一,2025-05-26,7,2025-06-09,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,1654.14,1709.3,1672.49,1690.895,618,1708,1331,1519.5,0.024121,0.029267,0.027528,0.0283975,2.676602,1.000761,1.256566,1.1286635,64,193,125,159
国庆/中秋假期,2025-10-01,周三,2025-09-24,7,2025-10-15,14,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,459.97,5003.5,3914.86,4459.18,415,2932,2824,2878,0.018266,0.036319,0.038085,0.037202,1.108361,1.706514,1.386282,1.546398,47,345,311,328
国庆/中秋假期,2025-10-02,周四,2025-09-25,7,2025-10-09,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,400.76,5000.99,3890.78,4445.885,371,3057,2596,2826.5,0.019468,0.038537,0.039276,0.0389065,1.080216,1.635914,1.49876,1.567337,45,379,301,340
国庆/中秋假期,2025-10-03,周五,2025-09-26,7,2025-10-10,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,426.23,4845.83,4273.52,4559.675,389,2868,2855,2861.5,0.019386,0.038523,0.038731,0.038627,1.095707,1.68962,1.496855,1.5932375,41,340,327,333.5
国庆/中秋假期,2025-10-04,周六,2025-09-27,7,2025-10-11,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,496.79,4339.54,3811.33,4075.435,427,2551,2615,2583,0.019756,0.037791,0.036095,0.036943,1.163443,1.701113,1.457488,1.5793005,52,300,268,284
国庆/中秋假期,2025-10-05,周日,2025-09-28,7,2025-10-12,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,522.99,1670.21,3413.26,2541.735,476,1028,2350,1689,0.01856,0.030063,0.037141,0.033602,1.098718,1.624718,1.452451,1.5385845,61,140,226,183
国庆/中秋假期,2025-10-06,周一,2025-09-29,7,2025-10-13,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,698,3011.62,1346.25,2178.935,606,1964,940,1452,0.022561,0.039174,0.027149,0.0331615,1.151815,1.533411,1.432181,1.482796,68,227,127,177
国庆/中秋假期,2025-10-07,周二,2025-09-30,7,2025-10-14,7,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,917.97,1806.21,4388.63,3097.42,843,1640,3056,2348,0.022389,0.02813,0.039668,0.033899,1.088932,1.101348,1.43607,1.268709,76,161,365,263
国庆/中秋假期,2025-10-08,周三,2025-09-17,21,2025-10-22,14,假期区间前后各14天内非节假日；同星期；两侧分别不放回最近匹配,2034.54,433.19,4448.65,2440.92,1455,476,2620,1548,0.039558,0.016168,0.037019,0.0265935,1.398309,0.910063,1.697958,1.3040105,162,265,270,267.5
