日期,总展现量,总点击量,总消费额,上方位展现量,上方首位展现量,CTR,CPC,上方位展现率,首位展现率,新注册数
2025-03-26,39952,979,1077.560000,4001,1011,0.024504,1.100674,0.100145,0.025305,43
2025-03-27,47022,1057,987.190000,4755,1092,0.022479,0.933955,0.101123,0.023223,45
2025-03-28,33805,822,622.300000,3095,556,0.024316,0.757056,0.091555,0.016447,55
2025-03-29,46190,1129,1003.570000,7636,2682,0.024443,0.888902,0.165317,0.058065,61
2025-03-30,50229,740,1009.590000,9761,8209,0.014733,1.364311,0.194330,0.163431,17
2025-03-31,40704,649,855.910000,7894,6045,0.015944,1.318814,0.193937,0.148511,20
2025-04-01,27666,500,551.760000,3566,643,0.018073,1.103520,0.128895,0.023242,39
2025-04-02,28455,564,780.590000,4804,920,0.019821,1.384025,0.168828,0.032332,40
2025-04-03,21426,386,554.220000,3367,634,0.018015,1.435803,0.157146,0.029590,19
2025-04-04,12347,207,304.240000,1357,287,0.016765,1.469758,0.109905,0.023245,25
2025-04-05,13004,229,331.700000,1494,324,0.017610,1.448472,0.114888,0.024915,28
2025-04-06,18335,369,521.500000,2156,517,0.020125,1.413279,0.117589,0.028197,45
2025-04-07,35947,701,977.120000,5474,1401,0.019501,1.393894,0.152280,0.038974,75
2025-04-08,55625,3203,6652.910000,20901,17721,0.057582,2.077087,0.375748,0.318580,176
2025-04-09,30971,3441,3357.930000,19524,19422,0.111104,0.975859,0.630396,0.627103,307
2025-04-10,32477,3434,3379.430000,20478,20336,0.105736,0.984109,0.630539,0.626166,308
2025-04-11,32561,3331,3365.540000,20921,20669,0.102300,1.010369,0.642517,0.634778,357
2025-04-12,32789,3438,3363.240000,19652,19510,0.104852,0.978255,0.599347,0.595017,363
2025-04-13,10222,1639,962.800000,7097,7062,0.160340,0.587431,0.694287,0.690863,164
2025-04-14,7811,1378,875.710000,6118,6095,0.176418,0.635493,0.783254,0.780310,174
2025-04-15,57813,3774,2119.530000,19868,10622,0.065279,0.561614,0.343660,0.183730,401
2025-04-16,80310,3755,2705.080000,11307,4003,0.046756,0.720394,0.140792,0.049844,351
2025-04-17,97114,3868,3125.480000,13559,4806,0.039829,0.808035,0.139619,0.049488,360
2025-04-18,94005,3449,2714.560000,11853,4781,0.036690,0.787057,0.126089,0.050859,237
2025-04-19,68285,2739,3336.840000,16642,5252,0.040111,1.218269,0.243714,0.076913,192
2025-04-20,32486,995,735.910000,5427,1758,0.030629,0.739608,0.167057,0.054116,102
2025-04-21,36450,1267,978.180000,5965,2368,0.034760,0.772044,0.163649,0.064966,156
2025-04-22,108287,4280,4264.490000,22824,4263,0.039525,0.996376,0.210773,0.039368,330
2025-04-23,88731,4006,4452.590000,19289,5391,0.045148,1.111480,0.217387,0.060757,337
2025-04-24,110901,5971,8352.190000,28770,9759,0.053841,1.398792,0.259421,0.087997,478
2025-04-25,106887,4349,5414.230000,25583,6059,0.040688,1.244937,0.239346,0.056686,305
2025-04-26,93635,3547,5551.690000,13240,3786,0.037881,1.565179,0.141400,0.040434,277
2025-04-27,42962,1777,1692.870000,4981,1764,0.041362,0.952656,0.115940,0.041060,159
2025-04-28,99235,2893,4690.490000,21398,4725,0.029153,1.621324,0.215630,0.047614,209
2025-04-29,94746,1896,3567.400000,19852,3956,0.020011,1.881540,0.209529,0.041754,183
2025-04-30,75911,1229,1009.410000,5834,2009,0.016190,0.821326,0.076853,0.026465,100
2025-05-01,21891,459,439.120000,2548,734,0.020968,0.956688,0.116395,0.033530,50
2025-05-02,22816,483,530.860000,2754,848,0.021169,1.099089,0.120705,0.037167,51
2025-05-03,24338,552,540.670000,2226,849,0.022681,0.979475,0.091462,0.034884,60
2025-05-04,29304,636,617.640000,2426,995,0.021704,0.971132,0.082787,0.033954,76
2025-05-05,38568,888,843.300000,3318,1241,0.023024,0.949662,0.086030,0.032177,96
2025-05-06,102909,2829,3474.980000,20733,6995,0.027490,1.228342,0.201469,0.067973,308
2025-05-07,115135,3791,5932.110000,39156,12059,0.032927,1.564788,0.340088,0.104738,441
2025-05-08,107160,2373,4426.360000,28955,5759,0.022144,1.865301,0.270203,0.053742,268
2025-05-09,124193,2607,6155.260000,32456,6358,0.020992,2.361051,0.261335,0.051195,272
2025-05-10,115573,3864,7902.110000,27032,6610,0.033433,2.045060,0.233895,0.057193,323
2025-05-11,114083,3416,5787.920000,18572,5909,0.029943,1.694356,0.162794,0.051796,269
2025-05-12,54002,1617,2435.560000,7767,2731,0.029943,1.506221,0.143828,0.050572,165
2025-05-13,113583,4537,8252.040000,26718,6397,0.039944,1.818832,0.235229,0.056320,323
2025-05-14,111450,3078,5272.960000,27041,5417,0.027618,1.713112,0.242629,0.048605,270
2025-05-15,110050,2453,5004.610000,26746,4891,0.022290,2.040200,0.243035,0.044443,253
2025-05-16,119160,3654,6305.680000,30444,7148,0.030665,1.725692,0.255488,0.059987,292
2025-05-17,123251,3295,5525.120000,20348,6884,0.026734,1.676819,0.165094,0.055854,256
2025-05-18,79982,1860,2789.590000,11134,3915,0.023255,1.499780,0.139206,0.048949,151
2025-05-19,79195,2006,3823.150000,16461,4487,0.025330,1.905857,0.207854,0.056658,202
2025-05-20,127415,4382,6891.500000,23341,7244,0.034392,1.572684,0.183189,0.056854,270
2025-05-21,129340,4050,5886.680000,29636,7335,0.031313,1.453501,0.229133,0.056711,306
2025-05-22,131810,4185,5291.430000,18043,6232,0.031750,1.264380,0.136886,0.047280,294
2025-05-23,106738,3340,3280.510000,11247,5136,0.031292,0.982189,0.105370,0.048118,270
2025-05-24,101372,3406,3110.350000,11744,4714,0.033599,0.913197,0.115851,0.046502,222
2025-05-25,54900,1503,1521.400000,6622,2400,0.027377,1.012242,0.120619,0.043716,147
2025-05-26,58359,1708,1709.300000,6630,2402,0.029267,1.000761,0.113607,0.041159,193
2025-05-27,112467,3706,3832.920000,15586,5623,0.032952,1.034247,0.138583,0.049997,331
2025-05-28,108873,3709,3809.770000,14592,4949,0.034067,1.027169,0.134028,0.045457,279
2025-05-29,110339,3547,3959.040000,16799,5098,0.032146,1.116166,0.152249,0.046203,281
2025-05-30,106306,3003,3662.640000,16254,5193,0.028249,1.219660,0.152898,0.048850,256
2025-05-31,23775,686,1861.890000,8097,1433,0.028854,2.714125,0.340568,0.060273,71
2025-06-01,22406,602,1612.290000,7094,1333,0.026868,2.678223,0.316612,0.059493,69
2025-06-02,25621,618,1654.140000,7706,1340,0.024121,2.676602,0.300769,0.052301,64
2025-06-03,80546,2069,3020.550000,16011,3836,0.025687,1.459908,0.198781,0.047625,161
2025-06-04,37063,1862,5797.000000,21736,4798,0.050239,3.113319,0.586461,0.129455,165
2025-06-05,63453,1925,5747.820000,27984,3925,0.030337,2.985881,0.441019,0.061857,184
2025-06-06,47112,1746,6251.330000,26300,4892,0.037061,3.580372,0.558244,0.103838,168
2025-06-07,48082,1282,4014.070000,19976,2266,0.026663,3.131100,0.415457,0.047128,116
2025-06-08,87023,2739,3007.100000,10083,4316,0.031474,1.097882,0.115866,0.049596,193
2025-06-09,48350,1331,1672.490000,5587,2359,0.027528,1.256566,0.115553,0.048790,125
2025-06-10,56162,1414,1782.350000,6096,2639,0.025177,1.260502,0.108543,0.046989,141
2025-06-11,75269,2043,5895.940000,25100,4555,0.027143,2.885923,0.333471,0.060516,207
2025-06-12,64631,1452,3533.340000,22459,3221,0.022466,2.433430,0.347496,0.049837,138
2025-06-13,65353,1191,2100.320000,13122,3178,0.018224,1.763493,0.200786,0.048628,136
2025-06-14,83351,1221,1919.130000,12923,3503,0.014649,1.571769,0.155043,0.042027,92
2025-06-15,48305,598,947.610000,5579,1995,0.012380,1.584632,0.115495,0.041300,53
2025-06-16,54384,542,874.590000,6321,1938,0.009966,1.613635,0.116229,0.035635,56
2025-06-17,95441,1630,2857.950000,21103,4131,0.017079,1.753344,0.221110,0.043283,158
2025-06-18,90661,1676,3276.110000,24544,4379,0.018486,1.954720,0.270723,0.048301,149
2025-06-19,74337,1297,2250.240000,15208,3496,0.017448,1.734958,0.204582,0.047029,107
2025-06-20,70345,1598,3697.150000,27302,4736,0.022717,2.313611,0.388116,0.067325,151
2025-06-21,64281,1534,3695.840000,23647,4528,0.023864,2.409283,0.367869,0.070441,146
2025-06-22,28074,487,801.850000,4771,1902,0.017347,1.646509,0.169944,0.067750,45
2025-06-23,27531,447,730.990000,4578,1851,0.016236,1.635324,0.166285,0.067233,40
2025-06-24,76820,1669,3295.190000,20643,5136,0.021726,1.974350,0.268719,0.066858,170
2025-06-25,57557,1024,1201.860000,10463,2951,0.017791,1.173691,0.181785,0.051271,103
2025-06-26,54791,967,984.110000,8745,2794,0.017649,1.017694,0.159607,0.050994,79
2025-06-27,52928,1010,1174.870000,12038,2812,0.019083,1.163238,0.227441,0.053129,95
2025-06-28,47117,932,1110.670000,11372,2628,0.019781,1.191706,0.241357,0.055776,95
2025-06-29,6439,149,174.930000,1716,448,0.023140,1.174027,0.266501,0.069576,23
2025-06-30,27082,361,319.580000,2565,532,0.013330,0.885263,0.094712,0.019644,1
2025-07-01,52571,1111,1345.050000,15444,2843,0.021133,1.210666,0.293774,0.054079,95
2025-07-02,61287,1293,1538.070000,16882,3313,0.021097,1.189536,0.275458,0.054057,112
2025-07-03,59140,1316,1801.850000,22484,3009,0.022252,1.369187,0.380183,0.050879,123
2025-07-04,58380,1262,1803.290000,18326,3234,0.021617,1.428914,0.313909,0.055396,147
2025-07-05,54081,1247,1814.170000,20980,3040,0.023058,1.454828,0.387937,0.056212,136
2025-07-06,23276,555,774.640000,6923,1527,0.023844,1.395748,0.297431,0.065604,57
2025-07-07,22194,455,624.320000,6784,1530,0.020501,1.372132,0.305668,0.068938,52
2025-07-08,61823,1187,1595.010000,14515,2957,0.019200,1.343732,0.234783,0.047830,119
2025-07-09,59026,1291,1839.400000,20426,3360,0.021872,1.424787,0.346051,0.056924,124
2025-07-10,56457,1133,1530.450000,14325,3115,0.020068,1.350794,0.253733,0.055175,123
2025-07-11,66847,1181,1801.030000,16096,3384,0.017667,1.525004,0.240789,0.050623,129
2025-07-12,65147,1372,1991.550000,15659,3556,0.021060,1.451567,0.240364,0.054584,128
2025-07-13,31601,837,1033.460000,7144,2152,0.026487,1.234719,0.226069,0.068099,78
2025-07-14,28607,855,1103.130000,7697,2153,0.029888,1.290211,0.269060,0.075261,82
2025-07-15,75027,2617,3179.050000,22064,5546,0.034881,1.214769,0.294081,0.073920,208
2025-07-16,71412,2313,2883.630000,22673,4718,0.032390,1.246706,0.317496,0.066067,177
2025-07-17,67819,2408,2859.000000,24845,4639,0.035506,1.187292,0.366343,0.068403,166
2025-07-18,65633,2291,2696.650000,20637,4715,0.034906,1.177062,0.314430,0.071839,186
2025-07-19,63604,2040,2636.400000,19148,4726,0.032073,1.292353,0.301050,0.074304,158
2025-07-20,28939,935,1231.450000,8051,2552,0.032309,1.317059,0.278206,0.088185,71
2025-07-21,28459,863,1173.120000,7145,2153,0.030324,1.359351,0.251063,0.075653,75
2025-07-22,40510,1842,3369.850000,19689,4535,0.045470,1.829452,0.486028,0.111948,151
2025-07-23,81753,3069,4250.740000,31014,9004,0.037540,1.385057,0.379362,0.110137,260
2025-07-24,107659,3455,3420.570000,32039,11533,0.032092,0.990035,0.297597,0.107125,256
2025-07-25,121846,3991,4407.780000,33996,13162,0.032754,1.104430,0.279008,0.108022,271
2025-07-26,95988,3129,3400.240000,25780,9880,0.032598,1.086686,0.268575,0.102930,212
2025-07-27,33219,820,927.280000,6329,2006,0.024685,1.130829,0.190523,0.060387,59
2025-07-28,29438,606,645.720000,4657,1735,0.020586,1.065545,0.158197,0.058937,36
2025-07-29,91382,2911,3255.080000,24212,9699,0.031855,1.118200,0.264954,0.106137,202
2025-07-30,134338,3993,3983.860000,35203,13331,0.029724,0.997711,0.262048,0.099235,218
2025-07-31,218922,5890,4994.960000,40593,16358,0.026905,0.848041,0.185422,0.074721,336
2025-08-01,239157,6942,5722.870000,42432,17389,0.029027,0.824383,0.177423,0.072710,343
2025-08-02,234560,6480,5515.840000,38964,17627,0.027626,0.851210,0.166115,0.075149,315
2025-08-03,72084,2003,2422.250000,19202,8964,0.027787,1.209311,0.266384,0.124355,176
2025-08-04,66706,1912,2364.280000,18884,8850,0.028663,1.236548,0.283093,0.132672,189
2025-08-05,116340,3797,4530.610000,34768,13844,0.032637,1.193208,0.298848,0.118996,278
2025-08-06,133820,4827,5300.020000,41995,17537,0.036071,1.097995,0.313817,0.131049,303
2025-08-07,139690,4919,5703.810000,43310,18753,0.035214,1.159547,0.310044,0.134247,298
2025-08-08,153908,4932,5924.100000,41941,17901,0.032045,1.201156,0.272507,0.116310,270
2025-08-09,131835,4311,5541.370000,38725,15218,0.032700,1.285402,0.293738,0.115432,278
2025-08-10,72831,1787,1553.600000,15483,7016,0.024536,0.869390,0.212588,0.096333,132
2025-08-11,56846,1419,1287.830000,14429,6246,0.024962,0.907562,0.253826,0.109876,92
2025-08-12,114022,3681,4835.330000,38747,13473,0.032283,1.313591,0.339820,0.118161,268
2025-08-13,115012,3735,5506.870000,40094,14413,0.032475,1.474396,0.348607,0.125317,300
2025-08-14,117778,3937,6311.740000,48114,15449,0.033427,1.603185,0.408514,0.131171,309
2025-08-15,109556,3781,6368.060000,45277,14901,0.034512,1.684226,0.413277,0.136013,299
2025-08-16,112725,3667,6045.970000,46898,14693,0.032530,1.648751,0.416039,0.130344,291
2025-08-17,54676,1386,2275.080000,17204,5638,0.025349,1.641472,0.314654,0.103117,122
2025-08-18,36381,746,1386.080000,9541,2434,0.020505,1.858016,0.262252,0.066903,73
2025-08-19,133126,4160,8179.010000,41875,14530,0.031249,1.966108,0.314552,0.109145,375
2025-08-20,163890,4708,8999.350000,43741,16728,0.028727,1.911502,0.266892,0.102068,354
2025-08-21,167017,5461,9575.180000,48683,18768,0.032697,1.753375,0.291485,0.112372,381
2025-08-22,151421,4674,8551.660000,49802,17401,0.030868,1.829623,0.328898,0.114918,324
2025-08-23,108551,4202,8916.200000,38317,14709,0.038710,2.121894,0.352986,0.135503,323
2025-08-24,122359,3179,2868.960000,27817,10459,0.025981,0.902472,0.227339,0.085478,170
2025-08-25,94155,2780,2650.260000,26368,9974,0.029526,0.953331,0.280049,0.105932,165
2025-08-26,201336,5393,8687.240000,52059,17729,0.026786,1.610836,0.258568,0.088057,361
2025-08-27,294615,6141,8811.380000,48801,17796,0.020844,1.434844,0.165643,0.060404,354
2025-08-28,257401,5355,6400.900000,47734,16086,0.020804,1.195313,0.185446,0.062494,302
2025-08-29,254303,4943,5554.600000,46762,15887,0.019437,1.123731,0.183883,0.062473,279
2025-08-30,185565,4830,5561.960000,41298,14307,0.026029,1.151545,0.222553,0.077100,287
2025-08-31,85412,1738,1755.940000,13285,5406,0.020348,1.010322,0.155540,0.063293,119
2025-09-01,41831,867,980.210000,7211,1870,0.020726,1.130577,0.172384,0.044704,68
2025-09-02,114918,4158,5258.170000,41424,13306,0.036182,1.264591,0.360466,0.115787,348
2025-09-03,145730,4732,4948.850000,43195,14459,0.032471,1.045826,0.296404,0.099218,294
2025-09-04,95476,3276,4487.550000,29730,8253,0.034312,1.369826,0.311387,0.086441,268
2025-09-05,67874,2857,6009.210000,27260,7211,0.042093,2.103329,0.401627,0.106241,325
2025-09-06,70056,2855,5743.950000,27626,6982,0.040753,2.011891,0.394342,0.099663,335
2025-09-07,35436,961,1886.840000,10222,2727,0.027119,1.963413,0.288464,0.076956,123
2025-09-08,32914,909,1836.950000,9920,2528,0.027617,2.020847,0.301392,0.076806,119
2025-09-09,82146,3256,5978.130000,30944,7969,0.039637,1.836035,0.376695,0.097010,297
2025-09-10,73152,3082,5775.370000,28817,6834,0.042131,1.873903,0.393933,0.093422,363
2025-09-11,77209,3124,5898.380000,29966,7474,0.040462,1.888086,0.388115,0.096802,348
2025-09-12,77575,2960,5616.730000,29676,7203,0.038157,1.897544,0.382546,0.092852,317
2025-09-13,76055,2724,5338.940000,27844,7041,0.035816,1.959963,0.366103,0.092578,309
2025-09-14,62120,2586,5245.770000,23996,7055,0.041629,2.028527,0.386285,0.113571,282
2025-09-15,28473,533,535.330000,3661,1284,0.018719,1.004371,0.128578,0.045095,279
2025-09-16,27382,440,419.680000,3122,1036,0.016069,0.953818,0.114017,0.037835,252
2025-09-17,29440,476,433.190000,3396,1175,0.016168,0.910063,0.115353,0.039912,265
2025-09-18,69123,2748,5024.530000,24653,6897,0.039755,1.828432,0.356654,0.099779,297
2025-09-19,61100,2595,5021.810000,26074,6703,0.042471,1.935187,0.426743,0.109705,322
2025-09-20,66307,2649,5002.820000,27512,6927,0.039951,1.888569,0.414918,0.104469,367
2025-09-21,38642,997,1754.360000,10846,3077,0.025801,1.759639,0.280679,0.079628,141
2025-09-22,39398,1032,1932.690000,10015,2881,0.026194,1.872762,0.254201,0.073126,167
2025-09-23,56124,2490,5037.460000,24324,6352,0.044366,2.023076,0.433397,0.113178,301
2025-09-24,80728,2932,5003.500000,29845,6800,0.036319,1.706514,0.369698,0.084233,345
2025-09-25,79326,3057,5000.990000,27173,7361,0.038537,1.635914,0.342548,0.092794,379
2025-09-26,74449,2868,4845.830000,26728,6784,0.038523,1.689620,0.359011,0.091123,340
2025-09-27,67502,2551,4339.540000,24396,6023,0.037791,1.701113,0.361412,0.089227,300
2025-09-28,34195,1028,1670.210000,9635,2654,0.030063,1.624718,0.281766,0.077614,140
2025-09-29,50135,1964,3011.620000,15863,4442,0.039174,1.533411,0.316406,0.088601,227
2025-09-30,58300,1640,1806.210000,12011,3604,0.028130,1.101348,0.206021,0.061818,161
2025-10-01,22720,415,459.970000,3323,936,0.018266,1.108361,0.146259,0.041197,47
2025-10-02,19057,371,400.760000,2795,890,0.019468,1.080216,0.146665,0.046702,45
2025-10-03,20066,389,426.230000,2756,833,0.019386,1.095707,0.137347,0.041513,41
2025-10-04,21614,427,496.790000,2940,964,0.019756,1.163443,0.136023,0.044601,52
2025-10-05,25647,476,522.990000,3426,1146,0.018560,1.098718,0.133583,0.044684,61
2025-10-06,26860,606,698.000000,4163,1442,0.022561,1.151815,0.154989,0.053686,68
2025-10-07,37653,843,917.970000,5631,1749,0.022389,1.088932,0.149550,0.046450,76
2025-10-08,36781,1455,2034.540000,11084,3146,0.039558,1.398309,0.301351,0.085533,162
2025-10-09,66097,2596,3890.780000,22285,5798,0.039276,1.498760,0.337156,0.087720,301
2025-10-10,73714,2855,4273.520000,25313,6153,0.038731,1.496855,0.343395,0.083471,327
2025-10-11,72448,2615,3811.330000,23788,5492,0.036095,1.457488,0.328346,0.075806,268
2025-10-12,63273,2350,3413.260000,19478,5176,0.037141,1.452451,0.307841,0.081804,226
2025-10-13,34624,940,1346.250000,8618,2150,0.027149,1.432181,0.248902,0.062096,127
2025-10-14,77039,3056,4388.630000,25161,6720,0.039668,1.436070,0.326601,0.087229,365
2025-10-15,74150,2824,3914.860000,23996,5813,0.038085,1.386282,0.323614,0.078395,311
2025-10-16,72531,2776,3954.430000,24554,5784,0.038273,1.424506,0.338531,0.079745,296
2025-10-17,61254,2525,4451.100000,22451,5684,0.041222,1.762812,0.366523,0.092794,274
2025-10-18,54005,2303,4451.450000,21472,5009,0.042644,1.932892,0.397593,0.092751,273
2025-10-19,42636,947,1339.440000,7761,2295,0.022211,1.414403,0.182029,0.053828,125
2025-10-20,36593,886,1211.760000,6875,2062,0.024212,1.367675,0.187877,0.056350,110
2025-10-21,84577,2800,4354.570000,23562,5624,0.033106,1.555204,0.278586,0.066496,281
2025-10-22,70775,2620,4448.650000,22926,5384,0.037019,1.697958,0.323928,0.076072,270
2025-10-23,75094,2507,4240.760000,22456,5255,0.033385,1.691568,0.299039,0.069979,261
2025-10-24,65661,2459,4465.170000,19375,5195,0.037450,1.815848,0.295076,0.079119,268
2025-10-25,72717,2447,4089.950000,22874,5087,0.033651,1.671414,0.314562,0.069956,249
